kommun,bidrag_id,kategori,belopp_varde_idag,belopp_status_idag,atgard,kalla_url
bromolla,bromolla-verksamhetsbidrag,A,Individuell bedömning per aktivitet och deltagare,angivet,Ren platshållare - ingen_regel eller okand,https://www.bromolla.se/uppleva-och-gora/foreningar/foreningsbidrag-och-stipendier/
bromolla,bromolla-projekt-arrangemangsbidrag,A,Individuell bedömning per projekt/arrangemang,angivet,Ren platshållare - ingen_regel eller okand,https://www.bromolla.se/uppleva-och-gora/foreningar/foreningsbidrag-och-stipendier/
dals-ed,dalsed-evenemang,A,Individuell bedömning (distribueras via geograft ansvarig förening),angivet,Ren platshållare - ingen_regel eller okand,https://www.dalsed.se/nyheter/nyhetsarkiv-2026/forandringar-i-evenemangsbidrag/
danderyd,danderyd-startbidrag,A,"Individuell bedömning, beslut fattas i varje enskilt fall utifrån hur föreningen kompletterar befintligt utbud",angivet,Ren platshållare - ingen_regel eller okand,https://www.danderyd.se/globalassets/globala-filer/kommun-och-politik/ovriga-styrdokument-ny/styrande-dokument---kultur-och-fritid/regler-for-foreningsbidrag---galler-fr.o.m.-2025-01-01.pdf
danderyd,danderyd-funktionshinder,C,Individuell bedömning efter beslut i kultur- och fritidsnämnden (budgetram 2025: 100 tkr enligt tjänsteutlåtande),angivet,Verifiera ordalydelsen mot källan,https://www.danderyd.se/globalassets/globala-filer/kommun-och-politik/ovriga-styrdokument-ny/styrande-dokument---kultur-och-fritid/regler-for-foreningsbidrag---galler-fr.o.m.-2025-01-01.pdf
danderyd,danderyd-tillfalligt-bidrag,C,"Individuell bedömning i varje enskilt fall, beslutas av kultur- och fritidsnämnden",angivet,Verifiera ordalydelsen mot källan,https://www.danderyd.se/globalassets/globala-filer/kommun-och-politik/ovriga-styrdokument-ny/styrande-dokument---kultur-och-fritid/regler-for-foreningsbidrag---galler-fr.o.m.-2025-01-01.pdf
danderyd,danderyd-hyresbidrag,C,"Individuell bedömning baserat på hyreskostnad, beslutas årligen av nämnden (budgetram 2025: 200 tkr totalt)",angivet,Verifiera ordalydelsen mot källan,https://www.danderyd.se/globalassets/globala-filer/kommun-och-politik/ovriga-styrdokument-ny/styrande-dokument---kultur-och-fritid/regler-for-foreningsbidrag---galler-fr.o.m.-2025-01-01.pdf
danderyd,danderyd-projektbidrag,C,"Individuell bedömning per projekt, i proportion till budget för kultur- och fritidsnämnden",angivet,Verifiera ordalydelsen mot källan,https://www.danderyd.se/globalassets/globala-filer/kommun-och-politik/ovriga-styrdokument-ny/styrande-dokument---kultur-och-fritid/regler-for-foreningsbidrag---galler-fr.o.m.-2025-01-01.pdf
degerfors,degerfors-specialbidrag,A,Individuell bedömning per projekt,overifierat,Ren platshållare - ingen_regel eller okand,https://www.degerfors.se/uppleva-och-gora/foreningar-och-foreningsstod
degerfors,degerfors-forlustback,A,Individuell bedömning för risk-täckning,angivet,Ren platshållare - ingen_regel eller okand,https://www.degerfors.se/uppleva-och-gora/foreningar-och-foreningsstod
dorotea,dorotea-lokalbidrag,A,Individuell bedömning per lokalhyra,angivet,Ren platshållare - ingen_regel eller okand,https://www.dorotea.se/uppleva-och-gora/foreningar-och-foreningsliv/
dorotea,dorotea-specialbidrag,A,Individuell bedömning per projekt,overifierat,Ren platshållare - ingen_regel eller okand,https://www.dorotea.se/uppleva-och-gora/foreningar-och-foreningsliv/
eda,eda-bidrag-arrangemang,A,Individuell bedömning per arrangemang,angivet,Ren platshållare - ingen_regel eller okand,https://eda.se/kultur/bidrag__827
ekero,ekero-aktivitetsstod,A,Individuell bedömning per medlem,angivet,Ren platshållare - ingen_regel eller okand,https://www.ekero.se/uppleva-gora/idrott--foreningar/foreningsstod-och-bidrag
ekero,ekero-kompetens-utveckling,A,Individuell bedömning per projekt,overifierat,Ren platshållare - ingen_regel eller okand,https://www.ekero.se/uppleva-gora/idrott--foreningar/foreningsstod-och-bidrag
eksjo,eksjo-aktivitetsbidrag,A,Individuell bedömning per aktivitet,angivet,Ren platshållare - ingen_regel eller okand,https://eksjo.se/kultur-och-fritid/foreningsliv/foreningsbidrag
eksjo,eksjo-stod-projekt,A,Individuell bedömning per projekt,overifierat,Ren platshållare - ingen_regel eller okand,https://eksjo.se/kultur-och-fritid/foreningsliv/foreningsbidrag
flen,flen-arrangemangsbidrag,A,Individuell bedömning eller garanterad support,angivet,Ren platshållare - ingen_regel eller okand,https://flen.se/uppleva--gora/foreningsliv
harjedalen,harjedalen-driftbidrag,B,Högst 50 % av redovisade kostnader; särskild prövning,angivet,"Behåll siffran, stryk platshållarfrasen",https://www.herjedalen.se/kommun-och-politik/styrdokument-och-regler/bidrag-och-stod-for-evenemang-foreningar-lokaler-och-studieforbund/foreningsstod.html
karlstad,karlstad-ridskolor,C,Bedöms individuellt av kultur- och fritidsnämnden efter särskild prövning,angivet,Verifiera ordalydelsen mot källan,https://karlstad.se/uppleva-och-gora/foreningsliv-stod-och-stipendier/bidrag-och-stod-till-foreningar/stod-till-barn--och-ungdomsverksamhet
karlstad,karlstad-sarskilt-stod-barn-ungdom,C,Bedöms individuellt efter särskild prövning,angivet,Verifiera ordalydelsen mot källan,https://karlstad.se/uppleva-och-gora/foreningsliv-stod-och-stipendier/bidrag-och-stod-till-foreningar/stod-till-barn--och-ungdomsverksamhet
laholm,laholm-samlingslokaler,A,Ersättning för faktiska kostnader efter individuell bedömning,angivet,Ren platshållare - ingen_regel eller okand,https://www.laholm.se/download/18.4325347919d9a4b4c3b83edb/1777459680138/LFS%207.8%20%282%29.pdf
salem,salem-sarskilt-bidrag,C,Individuell bedömning efter prövning av Kultur- och fritidsnämnden,angivet,Verifiera ordalydelsen mot källan,https://salem.se/fritidochkultur/foreningarochforeningsliv/foreningsbidrag.4.47083fea1932977dcc43ca05.html
simrishamn,simrishamn-verksamhetsbidrag,A,Individuell bedömning baserat på medlemsantal och aktiviteter,angivet,Ren platshållare - ingen_regel eller okand,https://www.simrishamn.se/kultur/fritid-och-forening/forening-och-foreningsliv/driva-forening/foreningsbidrag
simrishamn,simrishamn-integrationsbidrag,B,"Individuell bedömning, max 75 000 kronor",angivet,"Behåll siffran, stryk platshållarfrasen",https://www.simrishamn.se/kultur/fritid-och-forening/forening-och-foreningsliv/driva-forening/foreningsbidrag
simrishamn,simrishamn-utvecklingsbidrag,B,"Individuell bedömning, max 40 000 kronor",angivet,"Behåll siffran, stryk platshållarfrasen",https://www.simrishamn.se/kultur/fritid-och-forening/forening-och-foreningsliv/driva-forening/foreningsbidrag
vaxjo,vaxjo-aktivitetsstod-oppen-verksamhet,C,"Bedöms individuellt utifrån kostnader och verksamhetens omfattning, fastställs i dialogmöte med förvaltningen",angivet,Verifiera ordalydelsen mot källan,https://www.vaxjo.se/sidor/politik-och-demokrati/ekonomi/sok-stod-till-foreningar/stod-till-foreningar-med-barn-och-ungdomsverksamhet.html
